 id_filial                                                               descricao  empresa               desc_empresa  id_produto  id_epi                       descricao_produto  id_tamanho qtde_entrada saldoestoque             dataentrada
        21                           MATEUS SUPERMERCADOS S.A. SUPER CAPIM DOURADO        2       MATEUS SUPERMERCADOS       52781      19             BOTA COM BICO DE ACO TAM 42          22     2.000000     0.000000 2016-02-19 15:42:05.800
        24                             MATEUS SUPERMERCADOS S.A. SUPER NOVA MARABA        2       MATEUS SUPERMERCADOS       89969      21       BOTA PVC CANO MEDIO BRANCA TAM 44          24     1.000000     0.000000 2015-07-20 16:40:21.333
        16                                  MATEUS SUPERMERCADOS S.A. SUPER CALHAU        2       MATEUS SUPERMERCADOS       52776      19             BOTA COM BICO DE ACO TAM 38          18     1.000000     0.000000 2016-05-23 08:36:25.373
        95                                MATEUS SUPERMERCADOS S.A. MIX TAMANDARE         2       MATEUS SUPERMERCADOS      149405      24            BOTA WORK BOOT MARRON TAM 40          20     1.000000     0.000000 2014-02-05 14:54:50.397
        15                              MATEUS SUPERMERCADOS S.A. SUPER ACAILANDIA        2       MATEUS SUPERMERCADOS      149337      21       BOTA PVC CANO MEDIO BRANCA TAM 34          14     1.000000     0.000000 2016-02-18 11:30:29.763
        12                                MATEUS SUPERMERCADOS S.A. SUPER RIO ANIL        2       MATEUS SUPERMERCADOS       52705      72                       LUVA P/FRIO TAM M           3     1.000000     0.000000 2016-02-18 18:40:05.013
        94                                    MATEUS SUPERMERCADOS S.A. MIX BALSAS        2       MATEUS SUPERMERCADOS      149370      19             BOTA COM BICO DE ACO TAM 34          14     1.000000     0.000000 2013-09-10 10:04:41.037
        23                              MATEUS SUPERMERCADOS S.A. SUPER CAJAZEIRAS        2       MATEUS SUPERMERCADOS       52784      19             BOTA COM BICO DE ACO TAM 44          24     1.000000     0.000000 2016-03-04 11:33:28.753
        24                             MATEUS SUPERMERCADOS S.A. SUPER NOVA MARABA        2       MATEUS SUPERMERCADOS      149457      22          BOTA HIDROFUGADA BRANCA TAM 42          22     1.000000     0.000000 2016-03-21 09:20:04.437
        16                                  MATEUS SUPERMERCADOS S.A. SUPER CALHAU        2       MATEUS SUPERMERCADOS       52704      72                       LUVA P/FRIO TAM G           4     1.000000     0.000000 2016-06-24 10:32:50.227
        16                                  MATEUS SUPERMERCADOS S.A. SUPER CALHAU        2       MATEUS SUPERMERCADOS       63281      29                 PROTETOR AURICULAR PLUG          11     1.000000     0.000000 2016-06-24 10:32:50.227
         1                                  MATEUS SUPERMERCADOS S.A. HIPER BALSAS        2       MATEUS SUPERMERCADOS       89968      21       BOTA PVC CANO MEDIO BRANCA TAM 43          23     1.000000     0.000000 2016-04-18 10:50:01.097
         6                                  MATEUS SUPERMERCADOS S.A. - RENASCENCA        2       MATEUS SUPERMERCADOS      149412      24            BOTA WORK BOOT MARRON TAM 41          21     1.000000     0.000000 2015-12-17 11:33:18.830
        93                                   MATEUS SUPERMERCADOS S.A. MIX MAIOBAO        2       MATEUS SUPERMERCADOS       52704      72                       LUVA P/FRIO TAM G           4     3.000000     0.000000 2016-04-01 19:11:09.287
         3                              MATEUS SUPERMERCADOS S.A. SUPER SANTA INES        2       MATEUS SUPERMERCADOS      149419      24            BOTA WORK BOOT MARRON TAM 42          22     1.000000     0.000000 2013-09-03 08:16:00.437
       453                                 POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA       15     POSTERUS SUPERMERCADOS      246602      99       RETENTOR P/MASCARA SEMI FACIAL 3M          11     2.000000     1.000000 2024-04-29 16:01:37.287
       515                       MATEUS SUPERMERCADOS S.A. MIX PAULISTA-MARANGUAPE        2       MATEUS SUPERMERCADOS       52101      23        BOTA COM BICO DE PLASTICO TAM 36          16     1.000000     2.000000 2024-05-08 11:41:31.237
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS      502312      77           AVENTAL EM VINIL TRANSPARENTE          11    33.000000   126.000000 2024-05-13 20:33:49.663
        96                                MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO        2       MATEUS SUPERMERCADOS       52705      72                       LUVA P/FRIO TAM M           3     1.000000     1.000000 2024-04-23 18:27:26.373
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS      502326       3                        BALACLAVA BRANCA          11     6.000000    14.000000 2024-05-13 20:33:49.663
       502                             MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA        2       MATEUS SUPERMERCADOS      502312      77           AVENTAL EM VINIL TRANSPARENTE          11    13.000000    11.000000 2024-04-12 19:35:08.300
        18                                MATEUS SUPERMERCADOS S.A. SUPER COHATRAC        2       MATEUS SUPERMERCADOS       63281      29                 PROTETOR AURICULAR PLUG          11     6.000000     0.000000 2016-06-22 08:53:32.437
        95                                MATEUS SUPERMERCADOS S.A. MIX TAMANDARE         2       MATEUS SUPERMERCADOS       52773      19             BOTA COM BICO DE ACO TAM 35          15     1.000000     0.000000 2015-03-27 09:20:37.473
        26                               MATEUS SUPERMERCADOS S.A. MIX NOVA MARABA        2       MATEUS SUPERMERCADOS      149457      22          BOTA HIDROFUGADA BRANCA TAM 42          22     1.000000     0.000000 2016-03-14 08:40:22.630
         8                               MATEUS SUPERMERCADOS S.A. SUPER TURUZINHO        2       MATEUS SUPERMERCADOS       52711      15                            LUVA VAQUETA           2     1.000000     0.000000 2016-06-03 21:50:12.390
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS      283348      90          SAPATO STICK SHOE PRETO TAM 40          20     1.000000     0.000000 2024-05-13 20:33:49.660
       453                                 POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA       15     POSTERUS SUPERMERCADOS       52782      19             BOTA COM BICO DE ACO TAM 41          21     5.000000     5.000000 2024-01-25 18:45:23.937
       453                                 POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA       15     POSTERUS SUPERMERCADOS       52522     100     PRE-FILTRO P/MASCARA SEMI FACIAL 3M          11     2.000000     1.000000 2024-04-29 16:01:37.287
       453                                 POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA       15     POSTERUS SUPERMERCADOS       52776      19             BOTA COM BICO DE ACO TAM 38          18     3.000000     3.000000 2024-04-29 16:01:37.287
       415                               POSTERUS SUPERMERCADOS LTDA. SAO BERNARDO       15     POSTERUS SUPERMERCADOS       52381      23        BOTA COM BICO DE PLASTICO TAM 44          24     1.000000     0.000000 2024-05-16 11:24:46.427
        61         INDUSTRIA DE PAES E MASSAS MATEUS LTDA. C PANIFICACAO CONGELADA        1 INDUSTRIA DE MASSAS E PAES      193747      30                     PROTETOR AUD CONCHA          11     1.000000    21.000000 2024-03-15 18:15:31.787
