id_filial,descricao,empresa,desc_empresa,id_produto,id_epi,descricao_produto,id_tamanho,qtde_entrada,saldoestoque,dataentrada
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,52173,23,BOTA COM BICO DE PLASTICO TAM 38,18,1.000000,0.000000,2024-05-16 12:04:21.897
60,INDUSTRIA DE PAES E MASSAS MATEUS LTDA. FABRICA DE PAES,1,INDUSTRIA DE MASSAS E PAES,95169,74,LUVA NITRILICA VERDE TAM P,2,1.000000,1.000000,2024-05-19 18:24:33.247
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,514540,56,MEIA TERMICA ALGODAO,11,3.000000,22.000000,2024-05-20 15:18:21.063
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,51957,23,BOTA COM BICO DE PLASTICO TAM 34,14,45.000000,100.000000,2024-05-31 14:56:35.037
502,MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA,2,MATEUS SUPERMERCADOS,52702,13,LUVA MALHA ACO TAM P,2,1.000000,-1.000000,2024-05-07 09:14:53.727
502,MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA,2,MATEUS SUPERMERCADOS,52702,13,LUVA MALHA ACO TAM P,2,1.000000,0.000000,2024-05-07 11:27:53.837
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,12.000000,2024-05-08 08:34:22.563
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,8.000000,2024-05-08 09:19:28.253
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,5.000000,2024-05-08 09:36:08.130
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,2.000000,2024-05-08 10:35:58.253
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-2.000000,2024-05-10 10:28:47.677
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-7.000000,2024-05-10 10:59:17.353
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-3.000000,2024-05-10 10:38:48.990
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,-9.000000,2024-05-10 11:06:30.330
